fecha,optimizador,epochs,step size,alpha,batch size

2025-05-19 20:40:04,momentum,10,0.001,0.02,32
epoch number,loss
0,0.2577889859676361
1,0.21195454895496368
2,0.19502633810043335
3,0.18297958374023438
4,0.17221741378307343
5,0.16277803480625153
6,0.1541595160961151
7,0.14522282779216766
8,0.1376175582408905
9,0.13042692840099335

2025-05-19 20:42:23,sgd,10,0.001,0.02,41
epoch number,loss
0,0.32135525345802307
1,0.2314915657043457
2,0.21019083261489868
3,0.19692228734493256
4,0.1854071170091629
5,0.17585724592208862
6,0.16765283048152924
7,0.15897290408611298
8,0.15163445472717285
9,0.1449306160211563

2025-05-19 22:04:53,rmsprop,10,0.001,0.02,65
epoch number,loss
0,0.10146844387054443
1,0.0985017716884613
2,0.07351601123809814
3,0.06524945795536041
4,0.06219305470585823
5,0.06539513170719147
6,0.059617020189762115
7,0.05417180806398392
8,0.055005304515361786
9,0.05677757412195206

2025-05-19 22:07:33,rmsprop,33,0.001,0.02,65
epoch number,loss
0,0.10146844387054443
1,0.0985017716884613
2,0.07351601123809814
3,0.06524945795536041
4,0.06219305470585823
5,0.06539513170719147
6,0.059617020189762115
7,0.05417180806398392
8,0.055005304515361786
9,0.05677757412195206
10,0.05241917073726654
11,0.04662708565592766
12,0.048149995505809784
13,0.05020509287714958
14,0.05050534009933472
15,0.04879581928253174
16,0.046666957437992096
17,0.038331471383571625
18,0.03951357677578926
19,0.037396371364593506
20,0.03698247671127319
21,0.0384502150118351
22,0.03809431940317154
23,0.03586600348353386
24,0.036408741027116776
25,0.0347079373896122
26,0.03687028959393501
27,0.03789529204368591
28,0.03694842755794525
29,0.03410695865750313
30,0.03690048307180405
31,0.03313151001930237
32,0.031795624643564224

2025-05-19 22:11:41,sgd momentum,33,0.001,0.02,65
epoch number,loss
0,0.4850279688835144
1,0.2679979205131531
2,0.23218122124671936
3,0.21711252629756927
4,0.20593591034412384
5,0.19745978713035583
6,0.19039630889892578
7,0.18356257677078247
8,0.17757529020309448
9,0.1721753478050232
10,0.16748777031898499
11,0.16174820065498352
12,0.15681524574756622
13,0.1530223935842514
14,0.14755281805992126
15,0.14325618743896484
16,0.13948705792427063
17,0.13511820137500763
18,0.13149486482143402
19,0.12795418500900269
20,0.12467040866613388
21,0.12111460417509079
22,0.11834299564361572
23,0.11526818573474884
24,0.11300798505544662
25,0.10998239368200302
26,0.1079104095697403
27,0.10549195110797882
28,0.1036786288022995
29,0.10165499150753021
30,0.10020387172698975
31,0.09858562797307968
32,0.09712528437376022

sgd momentum,10,0.001,0.02,32
epoch number,loss
0,0.1546545773744583
1,0.09145902842283249
2,0.08387799561023712
3,0.08186056464910507
4,0.08101891726255417
5,0.07737647742033005
6,0.07488018274307251
7,0.07295985519886017
8,0.07253862917423248
9,0.06971898674964905

optimizador,epochs,step size,alpha,batch size
sgd momentum,10,0.001,0.02,32
epoch number,loss
0,0.08112318813800812
1,0.07125020772218704
2,0.06623847782611847
3,0.06945937126874924
4,0.061095427721738815
5,0.05591588839888573
6,0.0552690289914608
7,0.0523713193833828
8,0.051751043647527695
9,0.05522366240620613

optimizador,epochs,step size,alpha,batch size
sgd momentum,10,0.001,0.02,32
epoch number,loss
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan

optimizador,epochs,step size,alpha,batch size
sgd momentum,10,0.001,0.02,32
epoch number,loss
0,0.08721474558115005
1,0.07516515254974365

optimizador,epochs,step size,alpha,batch size
sgd momentum,10,0.001,0.02,32
epoch number,loss

optimizador,epochs,step size,alpha,batch size
sgd momentum,10,0.001,0.02,32
epoch number,loss
0,0.14867717027664185
1,0.08919334411621094
2,0.08297745138406754
3,0.08100558072328568
4,0.08051189035177231

optimizador,epochs,step size,alpha,batch size
sgd momentum,10,0.001,0.02,32
epoch number,loss
0,0.14867717027664185
1,0.08919334411621094
2,0.08297745138406754
3,0.08100558072328568
4,0.08051189035177231
5,0.07596206665039062
6,0.07317007333040237
7,0.07156088948249817
8,0.07170460373163223
9,0.06881044805049896

